Index,Country,Cities,DateTime,Latitude,Longitude,Weather,Humidity,Temperature,Max Temperature,Cloudiness,Wind Speed
175,MX,Cabo San Lucas,1657450108,22.8909,-109.9124,scattered clouds,46,29.57,29.73,41,2.68
176,US,Bud,1657450108,39.447,-86.1758,clear sky,83,15.81,17.04,0,3.34
177,NA,Gobabis,1657450108,-22.45,18.9667,clear sky,31,17.36,17.36,0,1.85
178,PK,Islamkot,1657450108,24.6997,70.177,overcast clouds,59,32.91,32.91,91,9.02
179,PH,Buluang,1657450108,13.3068,123.3425,moderate rain,87,26.74,26.74,100,0.78
180,SS,Leer,1657450108,8.3018,30.1418,broken clouds,46,31.84,31.84,83,4.34
181,MX,Puerto Escondido,1657450108,15.85,-97.0667,scattered clouds,84,25.08,25.08,35,1.84
182,AR,San Juan,1657450066,-31.5375,-68.5364,overcast clouds,30,12.05,12.05,100,5.73
183,NA,Windhoek,1657449915,-22.5594,17.0832,clear sky,19,17.22,18.27,0,3.6
184,US,Waverly,1657450109,42.7392,-84.6208,few clouds,94,9.76,10.09,23,1.64
185,JP,Ishigaki,1657450109,24.3448,124.1572,few clouds,79,30.07,30.07,20,4.12
186,RU,Tigil',1657450109,57.8,158.6667,few clouds,91,16.71,16.71,17,2.07
187,CA,Fort Nelson,1657450109,58.8053,-122.7002,overcast clouds,88,13.77,13.77,100,1.03
188,RU,Vostok,1657450109,46.4856,135.8833,broken clouds,89,18.57,18.57,70,0.35
189,RU,Labytnangi,1657450109,66.6572,66.4183,broken clouds,46,20.71,20.71,76,6.41
190,CA,Deer Lake,1657450109,49.1667,-57.4316,broken clouds,82,13.92,13.92,75,5.14
191,RU,Chokurdakh,1657450109,70.6333,147.9167,overcast clouds,43,17.41,17.41,96,5.8
192,RU,Lenina,1657450109,46.0667,39.7833,scattered clouds,27,35.71,35.71,46,3.81
193,AU,Mount Gambier,1657450109,-37.8333,140.7667,broken clouds,77,7.87,7.87,80,3.91
194,BR,Curuçá,1657450109,-0.7289,-47.8481,scattered clouds,91,24.41,24.41,33,1.59
195,UA,Pavlohrad,1657450109,48.5167,35.8667,scattered clouds,30,32.83,32.83,31,0.69
196,JP,Hasaki,1657450109,35.7333,140.8333,clear sky,92,25.22,26.27,5,4.57
197,PT,Praia da Vitória,1657450110,38.7333,-27.0667,overcast clouds,73,20.14,20.42,100,3.35
198,RU,Dikson,1657450110,73.5069,80.5464,broken clouds,91,3.17,3.17,76,4.16
199,MN,Darhan,1657450110,49.4867,105.9228,light rain,49,21.89,21.89,100,3.37
200,IN,Pasān,1657450110,22.85,82.2,heavy intensity rain,58,30.74,30.74,85,2.06
201,CL,Constitución,1657450110,-35.3333,-72.4167,overcast clouds,88,9.59,9.59,100,3.11
202,CA,Tuktoyaktuk,1657450110,69.4541,-133.0374,clear sky,92,3.68,3.68,8,4.46
